EmployeeID,Department,JobTitle,SatisfactionRating,EngagementLevel,ReportsConcerns,ProvidedSuggestions
1,Sales,Executive,5,Medium,true,false
3,Sales,Manager,4,High,false,false
6,Sales,Executive,4,High,false,false
12,Sales,Manager,5,High,true,false
23,IT,Developer,4,High,false,false
24,IT,Developer,5,High,true,false
31,IT,Developer,4,Medium,false,false
32,IT,Developer,4,Medium,false,false
33,IT,Developer,5,Medium,true,false
34,IT,Manager,4,High,true,false
49,HR,Analyst,5,Low,false,false
57,Finance,Manager,4,Low,true,false
62,Finance,Manager,4,Low,false,false
64,Finance,Manager,4,High,false,false
65,Finance,Manager,5,Medium,false,false
68,Finance,Analyst,5,Medium,false,false
70,Marketing,Coordinator,4,Medium,true,false
73,Marketing,Executive,4,Medium,true,false
75,Marketing,Coordinator,4,Medium,true,false
76,Marketing,Coordinator,5,Medium,false,false
85,Support,Support,4,Low,false,false
91,Support,Support,5,High,false,false
